Medium|5
13.92|1
14.33|2
28.65|0
28.93|0
29.43|1
30.15|3
30.41|1
30.86|2
31.35|1
31.82|0
32.31|1
32.78|1
33.27|2
33.75|2
34.23|0
34.70|1
35.19|1
35.66|2
36.15|1
36.63|0
37.11|2
37.59|0
38.07|1
38.55|3
39.03|2
39.51|0
39.99|1
40.47|1
40.95|2
41.42|3
41.91|2
42.39|1
42.87|0
43.35|1
43.83|1
44.30|2
44.79|2
45.06|3
45.50|1
45.77|0
46.23|3
46.70|1
46.99|0
47.43|0
47.85|1
48.14|3
48.63|3
49.11|3
49.40|0
49.67|0
50.07|2
50.55|0
51.02|1
51.51|0
51.98|1
52.46|1
52.94|1
53.42|3
53.90|1
54.39|2
54.72|3
55.11|3
55.41|3
55.82|0
56.31|1
56.78|1
57.26|1
57.74|1
58.23|2
58.71|0
59.19|3
59.44|2
59.70|1
60.18|2
60.50|3
60.78|1
61.10|3
61.59|2
61.87|3
62.15|2
62.58|3
63.04|2
63.51|1
63.77|1
64.02|2
64.36|3
64.62|1
64.95|0
65.43|2
65.93|1
66.41|2
66.87|1
67.13|0
67.38|3
67.87|1
68.31|1
68.81|0
69.31|0
69.57|3
69.82|0
70.28|2
70.76|1
71.08|1
71.42|1
71.67|2
72.09|1
72.50|1
72.79|1
73.04|1
73.34|2
73.82|1
74.30|0
74.60|2
75.02|0
75.28|2
75.74|3
76.23|1
76.70|3
76.96|1
77.43|3
77.68|0
78.15|2
78.41|2
78.86|0
79.36|2
79.64|1
79.94|0
80.33|3
80.69|2
81.02|0
81.52|1
81.98|3
82.46|3
82.94|1
83.23|0
83.54|0
83.90|1
84.38|0
84.86|2
85.12|0
85.39|3
85.82|0
86.09|0
86.56|3
86.85|2
87.26|0
87.52|3
87.98|3
88.24|3
88.70|0
89.18|2
89.66|2
90.16|2
90.62|0
90.89|1
91.34|1
91.60|1
92.06|2
92.42|2
92.79|1
93.27|2
93.52|1
93.99|3
94.48|0
94.94|0
95.42|3
95.67|2
95.95|0
96.39|1
96.65|3
96.95|0
97.34|1
97.60|1
97.85|2
98.30|3
98.57|2
99.02|0
99.50|2
99.76|3
100.22|2
100.72|1
101.18|3
101.45|0
101.82|3
102.14|3
102.62|2
103.10|2
103.60|0
104.06|2
104.54|1
104.84|0
105.30|0
105.56|0
105.92|3
106.25|0
106.57|3
106.83|1
107.11|0
107.53|3
107.81|1
108.10|1
108.55|3
108.95|0
109.36|2
109.72|3
110.01|2
110.32|2
110.83|3
111.14|0
111.63|1
111.97|3
112.24|3
112.58|1
112.93|0
113.30|2
113.59|1
113.86|3
114.31|3
114.76|2
115.02|3
115.27|2
115.67|3
115.92|0
116.19|3
116.69|1
117.00|1
117.26|3
117.53|1
117.81|2
118.12|1
118.37|1
118.62|0
118.89|1
119.19|3
119.45|2
119.76|2
120.01|0
120.35|0
120.61|3
120.88|2
121.14|2
121.63|2
121.95|1
122.22|3
122.54|1
122.80|3
123.06|3
123.51|0
123.89|2
124.22|0
124.49|2
124.94|2
125.21|0
125.48|3
125.78|1
126.03|3
126.42|1
126.88|0
127.37|1
127.74|2
128.10|0
128.36|1
128.80|2
129.06|3
129.32|0
129.82|2
130.30|2
130.74|2
131.19|1
131.45|0
131.71|3
132.18|2
132.64|3
132.98|2
133.29|2
133.61|2
133.88|3
134.31|1
134.78|0
135.26|0
135.74|1
136.03|3
136.47|0
136.74|3
137.00|2
137.31|1
137.57|1
137.84|2
138.14|2
138.50|3
138.86|2
139.12|0
139.60|2
140.06|3
140.55|1
140.81|2
141.16|0
141.50|2
141.75|1
142.10|3
142.46|3
142.73|0
143.08|3
143.42|2
143.70|1
144.06|2
144.38|0
144.67|0
145.10|1
145.60|3
145.85|0
146.30|0
146.57|2
147.03|1
147.51|2
147.94|3
148.24|1
148.70|3
149.18|2
149.46|2
149.78|3
150.14|3
150.41|3
150.76|1
151.10|3
151.60|1
152.06|3
152.56|3
153.04|0
153.52|2
153.98|2
154.47|1
154.94|0
155.22|1
155.57|3
155.90|3
156.40|2
156.89|1
157.34|3
157.60|3
158.04|2
158.30|2
158.78|2
159.04|1
159.48|3
159.74|2
159.99|3
160.26|3
160.58|0
160.95|2
161.20|2
161.67|3
161.94|0
162.28|0
162.62|3
162.89|1
163.35|3
163.61|2
164.06|1
164.54|0
165.02|2
165.51|2
165.98|2
166.24|3
166.65|0
166.96|1
167.25|2
167.50|3
167.83|2
168.09|0
168.35|2
168.64|3
169.05|2
169.37|0
169.73|3
170.10|2
170.51|3
170.78|1
171.03|0
171.51|1
171.99|2
172.47|1
172.79|2
173.12|0
173.41|3
173.67|1
173.92|3
174.23|3
174.51|2
174.87|1
175.34|2
175.59|0
175.85|3
176.30|0
176.61|2
176.93|2
177.35|1
177.62|3
177.91|1
178.16|2
178.50|3
178.77|3
179.13|0
179.43|2
179.77|1
180.05|3
180.31|3
180.67|1
180.94|1
181.19|1
181.50|1
181.80|2
182.09|3
182.40|3
182.66|0
182.93|2
183.34|3
